Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,195,1,0.0,0.01,0.0,-0.04,0.0,-0.02,-0.01,0.05,0.01,0.01,0.03
0,196,0,0.01,0.01,0.01,0.01,0.0,-0.01,0.01,0.04,0.0,0.06,0.03
1,197,0,0.01,0.02,0.01,0.1,0.0,-0.01,0.01,0.04,0.06,0.02,0.02
0,198,1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.03,0.02,0.01,0.0
1,199,0,-0.04,-0.07,0.0,-0.01,0.0,-0.04,0.0,0.0,-0.04,-0.13,-0.05
1,200,1,-0.01,-0.02,0.0,-0.08,0.0,0.0,-0.01,0.03,-0.06,-0.05,-0.03
0,201,1,0.0,-0.01,-0.01,-0.05,0.01,-0.04,-0.03,-0.01,-0.05,-0.05,-0.03
1,202,0,0.03,0.01,0.0,-0.1,0.0,0.04,-0.01,0.05,0.01,0.04,0.01
0,203,1,-0.06,-0.02,-0.01,-0.03,0.0,0.01,-0.02,-0.07,0.0,-0.04,-0.03
0,204,0,-0.05,0.0,0.0,0.01,0.0,0.02,0.01,-0.12,-0.01,-0.07,0.04
0,205,0,0.01,0.08,-0.01,0.08,0.01,0.02,0.01,-0.17,0.01,0.0,0.07
0,206,0,0.07,0.04,0.01,0.03,0.02,0.01,0.01,-0.03,0.0,0.08,0.05
1,207,0,0.07,0.05,0.02,0.04,0.0,0.06,0.03,0.06,0.06,0.14,0.08
1,208,1,0.04,0.03,0.05,0.18,0.0,0.06,0.12,0.09,0.06,0.12,0.03
0,209,1,0.01,0.03,0.0,0.1,0.0,0.03,0.03,0.06,0.0,0.04,-0.03
1,210,0,0.0,-0.02,-0.01,-0.02,0.0,-0.04,-0.01,-0.03,-0.05,-0.03,-0.06
1,211,1,-0.04,-0.1,-0.04,-0.14,0.0,-0.07,-0.12,0.0,-0.07,-0.08,-0.1
0,212,1,-0.01,-0.05,0.0,-0.12,-0.01,-0.07,-0.03,0.0,-0.03,-0.09,-0.01
0,213,0,0.01,-0.01,0.0,0.03,0.0,-0.02,-0.02,0.08,0.01,0.01,0.0
1,214,0,0.01,0.02,0.0,-0.09,0.0,0.0,0.0,0.07,-0.01,0.01,0.04
1,215,1,-0.01,0.01,0.0,0.06,-0.01,0.03,0.02,0.04,0.02,0.04,0.05
0,216,1,-0.03,0.01,0.01,0.09,0.0,0.02,0.06,0.04,0.0,0.05,0.03
1,217,0,-0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.19,0.03,0.05,0.02
0,218,1,0.0,-0.01,0.0,0.01,0.01,0.03,-0.02,0.21,0.0,0.0,-0.05
1,219,0,-0.01,-0.02,-0.01,-0.14,0.0,0.0,-0.06,0.16,-0.01,-0.07,-0.05
1,220,1,0.02,-0.01,0.0,0.0,0.0,0.03,-0.02,0.01,-0.04,-0.01,0.0
1,221,1,0.0,-0.01,-0.01,0.02,0.0,-0.03,0.0,-0.04,0.0,0.0,-0.01
0,222,1,-0.01,-0.01,-0.01,0.04,0.0,0.02,-0.01,-0.01,-0.01,-0.01,0.02
1,223,0,-0.03,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.06,-0.02,-0.06,-0.05
0,224,1,-0.02,0.0,0.0,-0.1,-0.01,0.01,-0.01,-0.09,-0.02,-0.03,-0.01
1,225,0,-0.01,0.0,0.0,-0.04,0.0,-0.04,-0.01,-0.1,-0.01,0.0,-0.05
0,226,1,0.01,-0.03,0.0,-0.02,-0.01,-0.01,-0.02,-0.11,-0.02,-0.05,-0.01
1,227,0,-0.01,-0.03,0.01,0.07,0.01,-0.05,-0.01,-0.08,0.0,0.01,0.01
0,228,1,0.01,-0.03,0.01,0.05,0.0,0.0,0.0,-0.09,0.02,0.01,0.01
0,229,0,-0.02,-0.03,0.0,0.06,0.01,0.0,0.01,-0.09,0.02,0.07,0.01
0,230,0,-0.01,0.0,0.0,-0.02,0.01,0.02,0.01,-0.05,0.01,0.01,-0.04
0,231,0,-0.03,0.0,0.0,0.01,0.01,0.0,0.01,-0.08,-0.03,-0.02,0.0
1,232,0,0.04,0.03,0.01,0.04,0.01,0.04,0.01,-0.01,0.04,0.0,0.04
0,233,1,0.04,0.05,0.01,0.03,0.0,0.1,0.01,0.01,0.02,0.07,0.07
0,234,0,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.04,0.03,0.04,0.0
1,235,0,0.0,-0.02,0.0,-0.1,0.0,0.0,-0.01,-0.02,-0.03,0.03,-0.04
0,236,1,-0.02,-0.08,-0.01,-0.05,0.0,-0.07,-0.02,-0.06,-0.04,-0.08,-0.05
0,237,0,-0.03,-0.03,-0.01,-0.1,0.0,-0.05,-0.02,-0.03,-0.02,-0.03,0.0
0,238,0,-0.02,-0.01,-0.01,-0.01,0.0,-0.05,-0.01,0.01,-0.03,-0.08,-0.03
0,239,0,0.01,-0.02,-0.01,-0.01,0.0,-0.04,-0.01,0.01,0.0,-0.04,-0.01
1,240,0,0.04,0.0,0.0,0.07,0.0,0.0,0.01,0.01,-0.03,-0.03,-0.03
0,241,1,0.03,0.02,0.01,0.05,0.0,0.02,0.02,0.03,0.04,0.08,0.02
0,242,0,0.06,0.23,0.09,0.32,0.01,0.17,0.24,0.35,0.18,0.34,0.14
0,243,0,0.12,0.16,0.05,0.17,0.01,0.15,0.12,0.53,0.12,0.25,0.13
0,244,0,0.1,0.25,0.14,0.34,0.01,0.17,0.32,0.65,0.21,0.27,0.12
1,245,0,0.09,0.2,0.15,0.22,0.0,0.05,0.23,0.27,0.13,0.13,0.06
0,246,1,-0.04,0.21,0.12,0.1,0.0,-0.01,0.2,-0.12,0.15,0.15,0.03
