Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,834,0,0.253,0.267,0.15,0.383,0.05,0.633,0.13,0.387,0.257,0.557,0.593
1,835,0,0.257,0.273,0.16,0.403,0.05,0.64,0.14,0.313,0.257,0.573,0.603
1,836,1,0.267,0.29,0.17,0.407,0.05,0.637,0.143,0.307,0.273,0.593,0.63
0,837,1,0.27,0.297,0.16,0.403,0.05,0.64,0.14,0.317,0.263,0.59,0.65
0,838,0,0.277,0.363,0.273,0.46,0.047,0.643,0.267,0.333,0.353,0.647,0.677
1,839,0,0.27,0.413,0.393,0.513,0.043,0.647,0.367,0.343,0.417,0.713,0.673
0,840,1,0.26,0.623,0.68,0.663,0.043,0.64,0.653,0.38,0.57,0.857,0.773
0,841,0,0.247,0.79,0.837,0.78,0.167,0.67,0.743,0.467,0.607,0.927,0.863
1,842,0,0.253,0.93,0.93,0.83,0.403,0.733,0.787,0.55,0.623,0.97,0.957
0,843,1,0.253,0.82,0.777,0.76,0.72,0.793,0.567,0.583,0.51,0.887,0.89
1,844,0,0.253,0.677,0.607,0.677,0.89,0.82,0.423,0.537,0.397,0.783,0.81
1,845,1,0.25,0.587,0.48,0.617,0.947,0.877,0.333,0.483,0.353,0.713,0.767
0,846,1,0.253,0.607,0.423,0.55,0.9,0.917,0.307,0.447,0.35,0.697,0.853
0,847,0,0.257,0.607,0.377,0.473,0.857,0.92,0.263,0.423,0.357,0.7,0.873
1,848,0,0.247,0.567,0.343,0.443,0.777,0.843,0.237,0.407,0.34,0.687,0.85
0,849,1,0.243,0.503,0.323,0.437,0.713,0.797,0.22,0.383,0.337,0.673,0.74
1,850,0,0.233,0.47,0.317,0.423,0.66,0.753,0.207,0.377,0.337,0.657,0.703
1,851,1,0.217,0.447,0.3,0.403,0.633,0.717,0.197,0.403,0.32,0.627,0.657
1,852,1,0.2,0.467,0.307,0.4,0.593,0.67,0.197,0.41,0.33,0.63,0.653
0,853,1,0.193,0.533,0.333,0.41,0.557,0.647,0.23,0.41,0.403,0.66,0.693
1,854,0,0.193,0.54,0.34,0.43,0.577,0.633,0.243,0.37,0.41,0.663,0.7
