Date,adjusted,unadjusted,monthly
2005-09-27,2,69,9.733333333333334
2005-09-28,2,54,9.8
2005-09-29,2,49,9.866666666666667
2005-09-30,2,76,9.933333333333334
2005-10-01,1,44,10.0
2005-10-02,1,48,10.0
2005-10-03,2,42,10.0
2005-10-04,2,70,10.0
2005-10-05,3,68,10.0
2005-10-06,2,79,10.0
2005-10-07,2,81,10.0
2005-10-08,1,32,10.0
2005-10-09,1,51,10.0
2005-10-10,3,72,10.0
2005-10-11,2,66,10.0
2005-10-12,2,59,10.0
2005-10-13,2,46,10.0
2005-10-14,2,80,10.0
2005-10-15,1,39,10.0
2005-10-16,1,31,10.0
2005-10-17,2,69,10.0
2005-10-18,2,64,10.0
2005-10-19,2,55,10.0
2005-10-20,2,50,10.0
2005-10-21,2,54,10.0
2005-10-22,1,37,10.0
2005-10-23,1,54,10.0
2005-10-24,2,68,10.0
2005-10-25,2,74,10.0
2005-10-26,2,70,10.0
2005-10-27,2,64,10.0
2005-10-28,2,47,10.0
2005-10-29,1,39,10.0
2005-10-30,2,45,10.0
2005-10-31,2,52,10.0
2005-11-01,2,65,10.0
2005-11-02,2,80,9.966666666666667
2005-11-03,2,85,9.933333333333334
2005-11-04,2,65,9.9
2005-11-05,1,34,9.866666666666667
2005-11-06,1,51,9.833333333333334
2005-11-07,2,64,9.8
2005-11-08,2,74,9.766666666666667
2005-11-09,2,55,9.733333333333333
2005-11-10,2,93,9.7
2005-11-11,3,76,9.666666666666666
2005-11-12,1,30,9.633333333333333
2005-11-13,2,63,9.6
2005-11-14,2,74,9.566666666666666
2005-11-15,2,81,9.533333333333333
2005-11-16,2,67,9.5
2005-11-17,2,62,9.466666666666667
2005-11-18,2,54,9.433333333333334
2005-11-19,2,45,9.4
2005-11-20,1,39,9.366666666666667
2005-11-21,3,76,9.333333333333334
2005-11-22,3,88,9.3
2005-11-23,2,100,9.266666666666667
2005-11-24,2,49,9.233333333333334
2005-11-25,3,82,9.2
2005-11-26,2,24,9.166666666666666
2005-11-27,1,57,9.133333333333333
2005-11-28,2,93,9.1
2005-11-29,2,77,9.066666666666666
2005-11-30,2,75,9.033333333333333
2005-12-01,2,52,9.0
2005-12-02,2,81,9.064516129032258
2005-12-03,1,22,9.129032258064516
